INDEX,REPORT_YEAR,DIVISION,NEIGHBOURHOOD,CATEGORY,SUBTYPE,COUNT,COUNT_CLEARED,ObjectId
7475,2014,D41,Eglinton East (138),Crimes Against Property,Theft Under $5000,42,11,7458
7279,2017,D55,The Beaches (63),Crimes Against Property,Break & Enter-Apartment,12,2,7459
7428,2014,D42,Tam O'Shanter-Sullivan (118),Controlled Drugs and Substances Act,Other,30,28,7460
7327,2016,D33,Fenside-Parkwoods (150),Crimes Against Property,Theft Under $5000,108,24,7461
7328,2020,D41,Bendale-Glen Andrew (156),Crimes Against Property,Break & Enter-Commercial,3,1,7462
7329,2022,D43,Highland Creek (134),Crimes Against Property,Auto Theft,44,4,7463
7330,2023,D43,West Hill (136),Crimes Against Property,Other,194,58,7464
7331,2022,D53,Yonge-Eglinton (100),Crimes Against Property,Break & Enter-Apartment,10,3,7465
7332,2018,D55,Taylor-Massey (61),Crimes Against Property,Break & Enter-Commercial,17,6,7466
7333,2015,D31,Pelmo Park-Humberlea (23),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,10,7,7467
7334,2015,D14,Palmerston-Little Italy (80),Crimes Against Property,Auto Theft,19,5,7468
7335,2023,D14,Little Portugal (84),Crimes Against Property,Break & Enter-Apartment,8,2,7469
7336,2014,D23,Elms-Old Rexdale (5),Other Criminal Code Violations,Other,21,21,7470
7337,2016,D32,Westminster-Branson (35),Crimes Against Property,Break & Enter-Apartment,10,2,7471
7338,2021,D14,Harbourfront-CityPlace (165),Crimes Against Property,Break & Enter-Apartment,19,2,7472
7339,2015,D41,Eglinton East (138),Crimes Against the Person,Assault,62,40,7473
7340,2021,D53,Forest Hill South (101),Other Criminal Code Violations,Other,4,3,7474
7341,2015,D31,Oakdale-Beverley Heights (154),Crimes Against Property,Theft Under $5000,332,169,7475
7342,2022,D23,Elms-Old Rexdale (5),Crimes Against the Person,Sexual Violation,7,4,7476
7343,2014,D13,NSA,Crimes Against Property,Break & Enter-House,1,1,7477
7344,2017,D14,Little Portugal (84),Controlled Drugs and Substances Act,Other,13,11,7478
7345,2015,D31,Black Creek (24),Crimes Against the Person,Robbery-Other,37,11,7479
7346,2014,D11,Junction-Wallace Emerson (171),Crimes Against the Person,Robbery-Other,20,5,7480
7347,2019,D41,NSA,Crimes Against the Person,Sexual Violation,1,1,7481
7348,2015,D41,Cliffcrest (123),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,6,5,7482
7349,2018,D53,Bedford Park-Nortown (39),Crimes Against the Person,Robbery-Other,1,1,7483
7350,2014,D43,Golfdale-Cedarbrae-Woburn (141),Crimes Against Property,Auto Theft,22,8,7484
7280,2015,D51,NSA,Crimes Against the Person,Other,2,2,7485
7281,2016,D22,Long Branch (19),Crimes Against the Person,Other,23,10,7486
7429,2021,D13,Junction-Wallace Emerson (171),Criminal Code Traffic,Other,9,8,7487
7282,2021,D22,Edenbridge-Humber Valley (9),Crimes Against Property,Other,22,5,7488
7283,2016,D33,Banbury-Don Mills (42),Other Criminal Code Violations,Other,68,61,7489
7430,2019,D14,Kensington-Chinatown (78),Criminal Code Traffic,Other,7,6,7490
7284,2017,D31,Oakdale-Beverley Heights (154),Crimes Against Property,Auto Theft,54,3,7491
7431,2019,D42,Agincourt North (129),Crimes Against Property,Fraud,68,5,7492
7285,2015,D23,Edenbridge-Humber Valley (9),Crimes Against the Person,Assault,6,4,7493
7432,2017,D12,Maple Leaf (29),Crimes Against the Person,Other,5,2,7494
7286,2018,D11,Roncesvalles (86),Crimes Against Property,Other,88,22,7495
7433,2017,D41,Eglinton East (138),Crimes Against the Person,Sexual Violation,4,2,7496
7287,2017,D23,Rexdale-Kipling (4),Crimes Against Property,Theft Under $5000,49,5,7497
7434,2022,D55,The Beaches (63),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3,3,7498
7288,2014,D51,Moss Park (73),Crimes Against the Person,Robbery-Other,112,55,7499
7435,2015,D13,Junction-Wallace Emerson (171),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,5,7500
7289,2020,D55,Victoria Village (43),Controlled Drugs and Substances Act,Other,7,7,7501
7436,2021,D43,Centennial Scarborough (133),Crimes Against the Person,Other,9,8,7502
7290,2023,D52,Harbourfront-CityPlace (165),Other Criminal Code Violations,Other,37,24,7503
7437,2014,D52,NSA,Crimes Against Property,Fraud,18,7,7504
